Question,Question Type,Answer Option 1,Explanation 1,Answer Option 2,Explanation 2,Answer Option 3,Explanation 3,Answer Option 4,Explanation 4,Answer Option 5,Explanation 5,Answer Option 6,Explanation 6,Correct Answers,Overall Explanation,Domain
"Your customer support agent is processing a billing dispute using a three-step tool sequence: get_customer → lookup_order → process_refund. The first two tool calls have returned successfully with stop_reason: ""tool_use"": get_customer returned a 1.9KB JSON blob with 44 fields, and lookup_order returned a 0.8KB blob with 31 fields. Both payloads now sit in the conversation context, pushing utilization to 78% before the agent has issued process_refund. Downstream, only verified_customer_id, order_id, and charge_amount are referenced by process_refund. What is the correct orchestrator behavior before the next API request?",multiple-choice,"Abort the sequence and reroute the case through escalate_to_human with the get_customer and lookup_order results attached, since the remaining context budget is insufficient to run process_refund reliably.","discards completed verification and routes a tractable case to a human, flooding the escalation queue with recoverable work.",Pass the accumulated messages unchanged and rely on the model to selectively attend to the fields in get_customer and lookup_order that are relevant when it generates the process_refund invocation.,"At 78% utilization with one tool call remaining there is still enough context budget to issue process_refund, and Anthropic's documented recommendation is to redesign the tools (or wrap them) so they return narrow, high-signal payloads at the source rather than patching bloated responses downstream.","Have the orchestrator rewrite the completed get_customer and lookup_order tool_result blocks in place, dropping every field except charge_amount, then resubmit the conversation so the agent can issue the pending tool call.","has the orchestrator strip every field except charge_amount from the completed tool_result blocks, but process_refund also depends on verified_customer_id and order_id; the orchestrator generally cannot know in advance which fields a downstream subtask will actually reference, so manual mid-sequence trimming risks dropping required inputs and breaking the next tool call.","End the turn with a progress update to the customer and defer the process_refund invocation to the customer's next message, when more of the context window will be free.","treats a capacity question as a conversational one — pausing does not reclaim context, and the same payloads will still be in the history on the next turn.",,,,,2,,Context Management & Reliability
"Your customer support agent runs in an agentic loop that continues while `stop_reason == ""tool_use""` and terminates on any other stop_reason. A weekly rollout review finds that 6% of refund sessions exhibit the following pattern: the agent successfully calls get_customer and lookup_order (two tool_use turns), then produces an assistant message like ""Your refund has been processed — you should see the credit within 3–5 business days"" with `stop_reason: ""end_turn""` and no `process_refund` tool call. The orchestrator accepts the terminal stop_reason and moves on. The customer is never actually refunded and calls back the next day. What is the most reliable orchestrator change?",multiple-choice,"Increase the model's `max_tokens` so the model is less likely to truncate near the end of a response, reducing the chance it ends the turn prematurely.","misdiagnoses the root cause: max_tokens truncation produces a different terminal state than a coherent `end_turn` completion message — the model is fabricating the tool's effect, not running out of space.","Introduce a sentinel `mark_case_resolved` tool that the agent must call as its final tool_use, and programmatically reject `stop_reason: ""end_turn""` as terminal unless `mark_case_resolved` appears in the most recent assistant turn.","Anthropic's agentic best practices frames the agentic loop around tool-use signals and endorses programmatic completion checkpoints when silent termination produces customer-visible harm. A sentinel `mark_case_resolved` tool converts the loop's terminal condition from """"any end_turn"""" to """"end_turn preceded by an explicit completion tool_use,"""" which makes the hallucinated-completion failure mode structurally impossible rather than merely rare.","Extend the system prompt with a MUST-NEVER directive: ""Never tell a customer an action has been performed unless you have actually called the corresponding tool in this turn.""",reintroduces probabilistic prompt compliance for a deterministic correctness requirement; the 6% rate is exactly the failure class that additional prose directives fail to close.,"Treat `stop_reason: ""end_turn""` as non-terminal by default and re-prompt the agent with ""Are you sure all required tool calls have been made?"" before accepting the session as closed.","doubles the turn count on every session (including the 94% that completed correctly), and the agent's own self-review is subject to the same hallucinated-completion mode — the model that just falsely claimed to process a refund may equally falsely confirm that all required tool calls were made.",,,,,2,,Agentic Architecture & Orchestration
"Company policy requires process_refund to execute only during business hours (Mon–Fri, 9am–5pm customer local time). Current enforcement is a system prompt directive: ""Only call process_refund during business hours. Outside business hours, inform the customer and schedule for the next available window."" Monitoring shows 8% of refunds are still processed off-hours, well above the 0.1% tolerance legal requires. The payments team will not change the process_refund MCP server or its tool schema this quarter. What is the most reliable fix?",multiple-choice,Strengthen the system prompt with a MUST-NEVER directive and add three anchored few-shot examples of the correct off-hours dialogue; published evaluations suggest this approach drives prompt-based policy violations toward 1%.,"remains probabilistic; even at ~1% residual failure it is an order of magnitude above the 0.1% tolerance legal requires, so the 8% metric cannot be closed by stronger prompting.","Register a PostToolUse hook on process_refund that, if a refund was issued outside the business-hours window, automatically calls a reverse_refund tool and logs a compliance exception for audit.","corrects violations after they occur, but a reversal is not prevention — the customer was still charged off-hours, the audit trail still records the violation, and PostToolUse fires after the tool has already executed.","Add a standalone validate_hours tool that returns a boolean, and instruct the agent in the system prompt to call it immediately before every process_refund invocation and to skip process_refund when false.",depends on the agent choosing to call validate_hours and to honor the result; both are prompt-based checkpoints with the same non-zero failure rate.,"Register a PreToolUse hook on process_refund that checks the current timestamp against the customer's timezone business-hours window and, if outside it, cancels the call and returns a structured response indicating when the next window opens.",D is also the only option compatible with the constraint that the MCP server and schema cannot change.,,,,,4,,Agentic Architecture & Orchestration
"A customer contacts your support agent saying ""This is Maria Chen, I'd like to check on my recent refund."" The agent calls `get_customer(name: ""Maria Chen"")`, which returns three active records: M-4821 (Maria Chen, Austin TX, last order 3 weeks ago), M-6104 (Maria Chen, Boston MA, last order yesterday with an open refund request on a disputed $340 charge), and M-7723 (María Chen, San Diego CA, no recent orders). The agent selects M-6104 by the ""most recent refund-relevant activity"" heuristic, calls `process_refund` on M-6104's disputed charge, and issues a $340 credit. Post-hoc reconciliation reveals the caller was actually M-4821, so the refund went to the wrong customer and a separate reversal workflow was required. Aggregated logs show 7% of multi-match sessions resolve to the wrong customer through similar activity-based tie-breaking. What orchestrator change most reliably prevents wrong-customer resolution on ambiguous lookups?",multiple-choice,"When `get_customer` returns more than one candidate, require the agent to surface the candidate summaries to the customer as a disambiguation prompt and only proceed to any account-mutating tool after the customer's response narrows the match to exactly one record.","Anthropic's agentic best practices on customer match disambiguation both treat the caller as the authoritative signal for """"which of these records is you"""" — no candidate-ranking heuristic the agent applies (recency, geography, activity) can close that gap without customer confirmation, and any mutating tool call downstream of an unconfirmed match is a policy-violating action.","Narrow the `get_customer` query schema so it always requires full date-of-birth plus the last 4 digits of SSN, and refuse to process any case where the caller cannot supply both values — eliminating multi-match returns structurally.","prevents the failure by refusing most legitimate cases: many callers cannot produce exact DOB and SSN digits on a live support call, and refusing service shifts the failure mode from wrong-customer to no-service for the majority of volume rather than addressing the disambiguation gap.","Codify the agent's current heuristic into the system prompt as an explicit rule — ""when multiple customers match, select the record with the most recent activity relevant to the stated concern"" — and log the alternative candidate IDs to CRM metadata for post-session review.","canonizes the exact heuristic that produced the 7% miss rate — """"most recent refund-relevant activity"""" selected the wrong Maria Chen in the incident — and packaging it in a system-prompt rule does not give the agent any new signal about which record is the caller.","Upgrade to a stronger instruction-following model tier; with better synthesis of the candidate set and the caller's message, the model will select the correct match more reliably without any orchestration change.","addresses the wrong root cause: the model has no signal the prompt lacks, so stronger instruction-following selects the same wrong candidate from the same ambiguous set; the fix requires new information from the customer, not better interpretation of what the lookup already returned.",,,,,1,,Context Management & Reliability
"A customer submits the following message: ""My last three charges look wrong AND my account is showing as suspended AND I still haven't received the replacement card I requested three weeks ago."" Your agent processes all three concerns simultaneously in a single turn, making 11 tool calls in parallel using shared context, with no explicit subtask enumeration at turn start. Logs show it correctly resolves the billing discrepancy and initiates the card reissue—but the account suspension is never addressed. When the same agent is asked post-hoc to list the issues the message raised, it correctly names all three — the understanding faculty is intact; the 11-tool-call turn is where the suspension task was lost. A prior experiment adding a closing self-check prompt (""have all reported issues been resolved?"") reduced the drop rate by only 2 points. Aggregated logs show dropped-concern rate scales with concurrent complexity: 0% at 1 concern, 6% at 2, 31% at 3+. What architectural change most reliably prevents concern-dropping on multi-issue requests?",multiple-choice,Increase the agent's maximum turns per session to give it more opportunity to complete all concerns before the conversation ends.,"increases resources but does not change the information structure—the 11-tool-call turn still lacks a completion gate, so concerns still drop within a higher turn budget.","Add a system prompt rule: ""Before closing any conversation, ask the customer to confirm that all reported issues have been addressed.""","is exactly the class of intervention the 2-point improvement already ruled out: it depends on the same faculty that failed, and the agent that dropped """"account suspended"""" from its working set cannot confirm what it never tracked.","Have the agent enumerate an ordered subtask list per concern, mark each resolved only after tool outcomes verify it, and block the final response until every subtask is resolved or deferred.","The failure mode is silent task dropping under concurrent complexity. An explicit ordered subtask list with completion-gated response generation makes omissions structurally visible: the agent cannot produce a final response while any enumerated subtask lacks a resolved marker, and the case log provides the checkpoint the prior self-check prompt could not.","Route messages containing multiple concerns—detected by keyword patterns like ""AND"" or enumerated items—to a higher-capability model with stronger instruction-following.","over-engineers the routing without addressing the root cause; the post-hoc test shows the model understood the message, so replacing the model does not prevent dropping — only structured enumeration with a completion gate does, because the drop is an execution-tracking failure, not a comprehension failure.",,,,,3,,Agentic Architecture & Orchestration
"Your customer support agent has access to two refund tools. `process_refund(order_id, amount)` hits the card network directly — the credit settles within minutes and is irrevocable once issued. `authorize_refund_credit(order_id, amount)` issues a pending store credit that requires supervisor approval within 24 hours to settle and is reversible during that window; it is the required choice for disputed charges, active chargebacks, or any case flagged for investigation. The tool descriptions today read: `process_refund: ""Process a refund for the specified order""` and `authorize_refund_credit: ""Authorize a refund credit for the specified order""`. A review of 900 refund sessions shows the agent selects `process_refund` on 34% of disputed-charge cases where `authorize_refund_credit` is the required choice — logs suggest the agent is picking on tool-name similarity and list order rather than case type. What change most reliably corrects tool selection?",multiple-choice,"Rewrite both tool descriptions to explicitly state when to use each and the consequence: `process_refund` for routine refunds only (irrevocable, no disputes), and `authorize_refund_credit` for disputes or flagged cases (reversible, requires approval).","The documented guidance for steering tool selection when multiple related tools have overlapping surface signatures is to write tool descriptions that explicitly state when each tool applies and the consequence of choosing it. The current descriptions are informationally interchangeable — both match """"refund the order"""" equally well — so the model has nothing grounded to select over and logs show it falling back to name similarity. Rewritten descriptions encode the decision boundary (irrevocable immediate vs. reversible pending, and which case types map to which) directly into the selection surface, addressing the root cause.","Keep the descriptions as they are and add a pre-refund classifier agent that examines the case and returns the correct tool name, which the primary agent then invokes with the parameters it has already assembled.",adds a separate classification hop that carries its own failure rate and still leaves the primary agent choosing between two tools whose descriptions do not distinguish them.,"Remove `process_refund` from the agent's tool set entirely and route every refund through `authorize_refund_credit`; a reversible pending action is always safer than an irrevocable immediate action, so a single safer default is the robust fix.","solves the problem by removing it, but also forces a 24-hour settlement delay and supervisor review on every routine refund (the ~66% of volume that is correctly non-disputed) to fix a 34% misroute on the disputed subset — a net regression in customer experience and supervisor load.","Reorder the agent's tool list so `authorize_refund_credit` appears before `process_refund`, since the agent preferentially selects the first-enumerated option and the safer tool should therefore be first.","relies on list order as a selection lever; tool ordering is not a documented selection heuristic, and even if the model sometimes attends to position, the tools remain interchangeable in description so the underlying ambiguity is unfixed.",,,,,1,,Tool Design & MCP Integration
"A customer contacts your agent: ""Please refund my last charge."" The agent correctly identifies one concern, calls process_refund, and the payments MCP tool returns `isError: true` with `errorCategory: ""DISPUTED_CHARGE""` and a message: ""This transaction has an active chargeback case #CB-9812 — refund blocked pending chargeback resolution."" The agent's next assistant turn says: ""I've submitted your refund — you should see it within 3–5 business days,"" and ends. An audit of 1,200 such sessions shows that in 73% of cases where a tool `isError` response reveals a new concern the customer did not originally mention (chargebacks, account holds, pending investigations), the agent drops that concern. Your orchestrator already uses an ordered subtask list at turn start. What architectural change most reliably stops dropping concerns surfaced mid-session?",multiple-choice,"On any tool response carrying `isError: true` with a previously-unseen `errorCategory`, re-prompt the customer with ""I ran into an issue resolving this — can you describe any other concerns or recent account activity on this charge?"" so the human re-surfaces the blocking issue, and rely on the subsequent turn's subtask list to pick up whatever the customer restates.","is a reactive prompt-only reminder that asks the customer to re-surface a concern they have no way to know about; advisory, probabilistic, and dependent on the customer's knowledge.","Extend the subtask-tracking pattern so that any tool response carrying `isError: true` with an unresolved `errorCategory` is automatically appended to the running subtask list as an implicit new subtask, and the turn cannot close until that subtask is either resolved or explicitly deferred with a customer-visible acknowledgement.","Structured task tracking with completion criteria is what makes the agent's plan robust to mid-session surprises: if the running subtask list is auto-extended whenever a tool returns an unresolved errorCategory, the new concern becomes a first-class entry the completion gate must enumerate before the turn can close. The agent cannot drop what the loop is required to enumerate — a new chargeback subtask has to be either resolved or explicitly deferred with a customer-visible acknowledgement, which is precisely the visibility the 73% drop rate is missing.","On `isError: true` with `errorCategory: ""DISPUTED_CHARGE""` (or any blocking category), configure the orchestrator to retry process_refund with alternative parameters (different refund method, split refund across two smaller charges, next-day reattempt) and mark the original subtask resolved only on a successful retry, so the customer-visible result is a successful refund despite the downstream block.",masks the blocker by re-parameterizing a non-retryable business error and telling the customer the refund succeeded — forcing immediate handling of every error without categorization derails from the legitimate path and produces a material accuracy violation.,"On `isError: true`, log the `errorCategory` and case reference silently to the CRM without appending anything to the subtask list, continue the conversation without alerting the customer, and let a separate chargeback resolution team reach out asynchronously after the current turn closes.","logs to observability without changing the agent's loop: the error appears in the CRM, but the model's plan still does not include the chargeback, so the same drop happens on the customer-facing turn.",,,,,2,,Agentic Architecture & Orchestration
"Your customer support agent federates across three backend systems via MCP tools: `get_customer_us` (US database returns `status: ""ACTIVE""`, dates as ISO-8601 strings like `""2024-03-15""`, phone as `""+1-555-0100""`), `get_customer_emea` (EMEA system returns `status: 1` for active, dates as Unix epoch integers, phone with local formatting like `""+44 20 7946 0958""`), and `get_customer_legacy` (acquired-company system returns `status: ""A""`, dates as `""03/15/2024""`, phone as `""555-0100""` with no country code). Downstream tools — process_refund, send_email, lookup_order — expect one canonical shape. Production logs show process_refund rejects ~11% of calls due to status-field mismatches and emails occasionally route to the wrong region due to phone-parsing errors. The three MCP server owners will not coordinate a schema change this half. What is the most effective agent-layer fix?",multiple-choice,"Add a `normalize_customer` helper tool that downstream agents are prompted to call after every customer lookup, reshaping the payload to the canonical format.","An explicit `normalize_customer` helper invoked by the agent after each backend lookup produces a single canonical customer schema (normalized status enum, ISO-8601 dates, E.164 phone) before any downstream consumer sees it, and the agent calls it deterministically once per backend response as a routine step in the lookup-then-normalize sequence. This establishes a single source of truth for the canonical shape, performs the transformation deterministically in code rather than in the model's head, and decouples downstream tools from upstream MCP schema drift — when a backend changes its representation, only the helper's mapping changes, not every consumer.","Add try/except wrappers around each downstream tool invocation (process_refund, send_email, lookup_order) so format mismatches are caught at the consumer and retried after in-line conversion.","handles mismatches after they fail rather than preventing them; worse, it multiplies normalization logic across every consumer tool, so a new downstream tool must reimplement the conversion rather than receive already-canonical data.","Register three PostToolUse hooks — one per backend tool — that each transform the raw response into a single canonical customer schema (normalized status enum, ISO-8601 dates, E.164 phone) before it enters the conversation context.","is mechanically infeasible at the agent layer: PostToolUse hooks fire after the tool_result block has already entered the conversation, and per the Claude Code hooks documentation they can emit additional context, block continuation, or surface notifications, but they do not rewrite an existing tool_result's content — so PostToolUse cannot deliver """"transformed-before-context"""" semantics.","Expand the system prompt with a detailed mapping table listing each source schema and its canonical equivalents, instructing the agent to interpret any of the three representations as equivalent whenever it generates a downstream tool call.","pushes format interpretation into the model at runtime, spending tokens on every downstream call and relying on probabilistic interpretation where deterministic transformation is available one layer earlier.",,,,,1,,Agentic Architecture & Orchestration
"Your agent's `escalate_to_human` tool currently routes to a single generalist ""tier-2 queue."" A review of 1,400 escalated cases shows 62% require specialized knowledge held by exactly one of four teams: billing disputes, account security (fraud, suspensions), technical device issues, or loyalty/retention. Generalists spend 6–8 minutes rerouting each such case within the human team before substantive work begins, and 18% of cases are reassigned twice. You want the agent to escalate directly to the appropriate specialized team, with team-specific structured context (e.g., fraud_case_id for account security, device_model for technical). What is the most effective tool-design change?",multiple-choice,"Keep a single `escalate_to_human` tool but add a `routing_hint` free-text string parameter (the agent can set it to strings like ""account security — fraud_case_id pending"" or ""technical — device_model intermittent reboot""); generalists read the hint as a routing suggestion but retain discretion to override it, and every escalation still arrives via the same schema that the generalist queue already consumes.","Incorrect. A free-text hint is advisory metadata, not structural routing. Cases still flow into the generalist queue under the same schema, so the 6–8 minute reroute cost and 18% double-reassignment rate remain unchanged. Team-specific required fields like fraud_case_id or device_model get flattened into prose, which downstream systems cannot validate or route on programmatically.","Keep the single `escalate_to_human` tool and enrich its system-prompt description with a long paragraph explaining the four specialty areas (billing handles disputed_charge_ids, account security handles fraud_case_id, technical handles device_model issues, loyalty handles tier_status questions) and when each is appropriate, so the agent populates the existing free-text `reason` field with a more discriminating narrative for the generalist to parse.","Incorrect. Narrative text in a free-text field still lands in the generalist queue — the structural bottleneck is untouched. Anthropic's agentic best practices distinguish between probabilistic prompt guidance and deterministic schema enforcement; for a correctness requirement at this scale, prose instructions cannot reliably close a 62% misrouting gap.","Add a pre-escalation classifier: before calling `escalate_to_human`, the agent must call a new `classify_case(category, justification)` tool that writes the suggested team (e.g., ""account_security"" with fraud_case_id in justification, or ""technical"" with device_model in justification) to CRM metadata for downstream routing; the escalation itself still lands in the generalist queue and a human coordinator performs the actual reroute on the human side.",Incorrect. The classifier adds an extra step but does not eliminate the generalist queue handoff. The 6–8 minute rerouting cost and double-reassignment problem persist because the escalation itself still lands with the generalist. This introduces latency without resolving the structural root cause.,"Replace `escalate_to_human` with four purpose-specific tools — `escalate_to_billing`, `escalate_to_account_security`, `escalate_to_technical`, `escalate_to_loyalty` — each with its own structured payload schema scoped to that team's intake requirements, so the agent commits to a team category at call time via a typed payload rather than an advisory hint.","Correct. Anthropic's agentic best practices recommend expressing distinct operational paths as distinct tools rather than overloading a single tool with advisory hints. Four typed tools force the agent to commit to a team category at call time via a validated schema, eliminating the generalist rerouting step entirely. Team-specific required fields (fraud_case_id, device_model, charge_id, tier_status) are enforced structurally, not inferred from prose, making misrouting and missing context fields detectable before the escalation completes.",,,,,4,,Tool Design & MCP Integration
"An engineer is 3 hours into a Claude Code session refactoring a payments service. Over the session Claude has read 47 files across `services/payments/`, `services/ledger/`, and `tests/integration/`, run 22 test invocations, and — in the last 30 turns — made three load-bearing design decisions the engineer explicitly ratified: (1) the retry policy will use exponential backoff keyed on idempotency_key, (2) the ledger writer must be moved behind a new `LedgerClient` interface, and (3) the integration test fixture will be regenerated from production-shaped data. The status line now shows context utilization at 87%, response latency has roughly doubled, and in the last two turns Claude hallucinated a file path under `services/billing/` (a directory that does not exist in this repo) and repeated a question about the retry policy that was already answered. The refactor is roughly half complete and the engineer wants to continue in the same session today — the three ratified decisions and the in-progress edits under `services/payments/` must survive, but the early exploratory reads across `services/ledger/` and `tests/integration/` are no longer needed turn-to-turn. What is the most appropriate session-management action?",multiple-choice,"Run `/clear` to wipe the conversation context and start fresh, then continue the refactor from an empty context window.","(`/clear`) is calibrated wrong: it wipes the whole window, including the ratified decisions and the half-complete refactor state, and is appropriate only when accumulated context is stale — which the scenario explicitly says is not the case.","Run `/compact` with a directive focusing the summary on the three ratified design decisions and the in-progress `services/payments/` edits, dropping the exploratory reads from `services/ledger/` and `tests/integration/`.","`/compact [instructions]` is the best available primitive for this failure mode — 87% utilization with doubled latency, a hallucinated path, and a re-asked question — when parts of the accumulated context are still load-bearing and parts are not. `/compact` replaces the transcript with a model-generated summary, and the directive guides what that summary emphasizes and preserves; here, naming the three ratified decisions and the in-progress `services/payments/` edits steers the summary toward keeping them while letting the exploratory reads under `services/ledger/` and `tests/integration/` fall away. The mechanism is probabilistic rather than a deterministic content-level drop/keep filter, but it is the right tool because it consolidates context and lets the engineer steer what survives.","Exit the terminal, open a new terminal window, and start a fresh `claude` session in the same repo so the context window begins empty.",reaches the same over-clearing outcome as `/clear` via a slower path and abandons the session transcript that `--resume` would otherwise let the engineer reattach to.,"Continue the refactor in the same session without running any session-management command — at 87% there is still headroom, and the model's own attention mechanism will down-weight stale early exploration as newer, more relevant edits arrive.","misdiagnoses: at 87% with visible hallucination, the degradation is not self-correcting, and pushing through is the failure mode Task 3.x on session management and slash commands exists to prevent.",,,,,2,,Claude Code Configuration & Workflows
