Question,Question Type,Answer Option 1,Explanation 1,Answer Option 2,Explanation 2,Answer Option 3,Explanation 3,Answer Option 4,Explanation 4,Answer Option 5,Explanation 5,Answer Option 6,Explanation 6,Correct Answers,Overall Explanation,Domain
Your customer support agent has access to get_customer (verifies customer identity and returns a verified customer_id) and process_refund (issues a refund against a customer_id). Production logs show the agent occasionally calls process_refund using a customer_id it inferred from conversation context—such as an ID the customer typed or one mentioned in an earlier unrelated case—without first calling get_customer to verify identity. This has caused refunds issued to the wrong accounts. What architectural change would most reliably prevent refunds against unverified customers?,multiple-choice,"Strengthen the process_refund tool description to state ""only call this tool after get_customer has successfully returned a verified customer_id in the current session.""",Option A relies on probabilistic prompt compliance for a financially sensitive operation.,Add few-shot examples to the system prompt demonstrating the correct get_customer then process_refund sequence across several refund scenarios.,Option B improves behavior through examples but cannot guarantee the sequence under unusual phrasings.,"Add a programmatic prerequisite in the agent layer that blocks process_refund from being invoked until get_customer has successfully returned a verified customer_id in the current session, so the tool ordering is enforced in code rather than through prompt guidance.","Task 1.4 of the exam guide prescribes implementing programmatic prerequisites that block downstream tool calls until prerequisite steps have completed—explicitly, blocking process_refund until get_customer has returned a verified customer ID. Enforcing the sequence in code provides the deterministic compliance that financially sensitive operations require, which prompt instructions alone (with their non-zero failure rate) cannot guarantee.","Instruct the agent in the system prompt to ""always verify customer identity before issuing refunds"" and log any refund calls that lack a preceding get_customer call for later audit.",Option D is reactive auditing rather than prevention; wrong-account refunds would still occur before being detected.,,,,,3,,Agentic Architecture & Orchestration
"Your agent's lookup_order tool returns 40+ fields per order (timestamps, warehouse codes, carrier tracking, payment gateway IDs, inventory SKUs, etc.), but only 5-6 fields are relevant for typical customer support cases (status, delivery date, items, total, refund eligibility). After handling 8-10 orders in a single conversation, the agent begins giving inconsistent answers about earlier cases and occasionally confuses details between different orders. What is the most effective solution?",multiple-choice,Implement progressive summarization that condenses order details into natural language descriptions after each lookup to reduce token usage.,"Option A's summarization introduces risk—dates, amounts, and order numbers must remain precise, not condensed into vague summaries.","Use a PostToolUse hook to trim lookup_order responses to only support-relevant fields before the agent processes them, preventing irrelevant data accumulation.","PostToolUse hooks provide deterministic data trimming before verbose tool outputs accumulate in context, directly addressing the root cause: irrelevant fields consuming tokens disproportionately to their value.","Extract order facts into a structured ""case context"" block maintained outside conversation history, with only order ID, status, and key dates preserved.",Option C creates a separate context layer but doesn't prevent the initial 40-field responses from entering context; it's redundant when trimming solves the problem at the source.,"Modify the system prompt to instruct the agent to ""focus only on relevant order information and ignore internal system fields.""",Option D relies on probabilistic compliance when deterministic filtering is available and more reliable.,,,,,2,,Context Management & Reliability
"Your customer support agent has access to get_customer (""Retrieves customer information"") and lookup_order (""Retrieves order details""). Production logs show the agent calls get_customer when users provide order numbers (e.g., ""What's the status of order #78432?"") 30% of the time, despite the query clearly being order-related. Both tools accept alphanumeric identifiers, creating selection confusion. What is the most effective first step to improve tool selection reliability?",multiple-choice,"Add few-shot examples to the system prompt demonstrating correct tool selection for various query patterns, with 6-8 examples covering order-related versus customer-related requests.",Option A adds token overhead without fixing the underlying ambiguity in tool definitions.,"Expand each tool's description to include example queries it handles, the identifier formats it expects, and explicit boundaries explaining when to use it versus the similar tool.","Tool descriptions are the primary mechanism LLMs use for tool selection. When descriptions are minimal and similar (""Retrieves customer information"" vs ""Retrieves order details""), models lack context to differentiate reliably. Expanding descriptions to include example queries (""Use for: 'check my order status', 'where is order #12345'""), expected input formats (""Accepts order IDs like #78432 or ORD-12345""), and explicit boundaries (""Do NOT use for customer account lookups—use get_customer instead"") directly addresses the root cause.",Implement a pre-processing classifier that detects order numbers in user input and automatically routes those requests to lookup_order before the agent processes them.,Option C bypasses the LLM's natural language understanding and requires maintaining routing logic.,Consolidate both tools into a single unified_lookup tool that accepts any identifier and internally determines which backend system to query.,Option D requires significant refactoring when the immediate problem is inadequate descriptions.,,,,,2,,Tool Design & MCP Integration
"Your customer support agent's get_customer tool returns results when searching by email, phone, or name. When a customer says ""I'm John Smith"" and the tool returns three customers named John Smith, production logs show the agent selects the one with the most recent order 45% of the time rather than asking for clarification. This has resulted in incorrect account access in 12% of cases. What change would most reliably address this issue?",multiple-choice,"Instruct the agent to request additional identifiers (email, phone, or ZIP) when multiple matches are returned, reinforced with few-shot clarification examples.","Task 5.2 of the exam guide explicitly prescribes ""instructing the agent to ask for additional identifiers when tool results return multiple matches, rather than selecting based on heuristics""—a prompt-based skill solved with targeted instructions and few-shot examples demonstrating the clarification flow.","Modify the get_customer tool to return a maximum of one result, using internal heuristics to select the most likely match based on recent order activity.","Option B moves selection into the tool layer using the very heuristics the guide warns against, hiding ambiguity from the agent entirely.",Implement a PostToolUse hook that detects multiple customer matches in tool responses and injects a clarification prompt forcing the agent to request email or phone verification before continuing.,Option C's PostToolUse hook is over-engineered for a behavior the guide recommends solving through prompting; adding architectural enforcement to a problem of agent instruction reflects misapplication of the guide's recommended skill.,"Add a generic system prompt instruction stating ""always verify customer identity before proceeding with any account action"" without specific examples of the disambiguation flow.",Option D's generic instruction lacks the concrete few-shot examples needed to reliably shape behavior on ambiguous lookups.,,,,,1,,Context Management & Reliability
"Your customer support agent has access to five tools: get_customer, lookup_order, process_refund, update_address, and escalate_to_human. Production data shows that when customers ask to ""cancel my order,"" the agent frequently calls process_refund immediately, even though the order status is ""processing"" and hasn't shipped yet. The correct workflow should be: check order status, call cancel_order if unshipped, or initiate return_shipment if already shipped. However, your agent doesn't have cancel_order or return_shipment tools. What is the root cause?",multiple-choice,The agent's tool set is incomplete—it's attempting to accomplish the customer's goal using available tools even though those tools don't match the required workflow.,"When an agent misuses available tools to approximate unavailable functionality, the root cause is incomplete tool provisioning. The agent is trying to satisfy ""cancel my order"" but lacks the correct tool, so it defaults to process_refund as the closest available action.","The process_refund tool description fails to specify that it should only be called after order cancellation or return completion, not as a substitute for cancellation.",Option B could help but doesn't solve the fundamental problem—the agent still has no way to properly cancel orders.,"The system prompt lacks few-shot examples showing the correct sequence for cancellation requests, causing the agent to infer an incorrect workflow.",Option C's few-shot examples can't demonstrate a workflow using tools that don't exist.,"The agent should be calling escalate_to_human for cancellation requests, but the escalation criteria in the system prompt don't explicitly list ""cancellation requests"" as an escalation trigger.","Option D suggests escalating all cancellations, which defeats the purpose of automation when most cancellations could be handled autonomously with the right tools.",,,,,1,,Agentic Architecture & Orchestration
"Your customer support agent handles complex billing disputes where customers discuss multiple orders, partial refunds, and credits applied over several conversation turns. After 15-20 turns, the agent starts making factual errors: stating incorrect refund amounts from earlier in the conversation, confusing which order received which credit, or contradicting information it provided just a few turns ago. Logs show the conversation context is approaching the token limit. What architectural pattern most effectively prevents these factual consistency errors?",multiple-choice,Implement progressive summarization that periodically condenses the conversation history to free up token space for new turns.,"Option A's summarization risks condensing precise numerical values into vague descriptions—""several refunds"" instead of ""$47.50 on order #12345""—which causes exactly the errors described.",Increase the max_tokens parameter to give the agent more context capacity for longer billing dispute conversations.,"Option B doesn't solve the fundamental problem; even with more tokens, the agent will eventually hit limits on long disputes, and larger contexts still suffer from ""lost in the middle"" effects.","Instruct the agent in the system prompt to ""maintain accurate records of all discussed amounts and orders throughout the conversation.""",Option C relies on probabilistic compliance for maintaining accuracy when deterministic structured extraction is available.,"Extract key transactional facts (order IDs, amounts, refund status, credits applied) into a persistent ""case facts"" block that is included at the start of each prompt, outside the summarized conversation history.","Extracting transactional facts into a persistent structured block ensures critical numerical data (amounts, order IDs, refund status) survives context compression and remains easily accessible. This directly addresses the root cause: important details getting lost or corrupted during context management.",,,,,4,,Context Management & Reliability
"Your customer support agent handles requests where customers describe multiple distinct problems in a single message (e.g., ""My package arrived damaged, I was overcharged for shipping, and I need to change my delivery address for future orders""). Production logs show the agent investigates each issue sequentially, waiting for each investigation to complete before starting the next. For complex multi-issue requests, resolution takes 3-4 times longer than necessary because issues that could be investigated simultaneously are handled one-by-one. What architectural change would most effectively reduce resolution time while maintaining quality?",multiple-choice,"Decompose the customer's multi-concern request into distinct items, then investigate each concern in parallel using shared context before synthesizing a unified resolution response.","Decomposing multi-concern requests into distinct items and investigating them in parallel directly addresses the latency problem while maintaining investigation quality. The agent identifies ""Issue 1: damaged package, Issue 2: shipping overcharge, Issue 3: address update,"" then investigates all three simultaneously using shared customer context, and finally synthesizes findings into a unified response.",Implement a queue system that tracks each issue separately and processes them in priority order based on estimated resolution difficulty.,"Option B still processes sequentially, just in a different order—it doesn't enable parallelism.","Add system prompt instructions telling the agent to ""work faster by handling multiple issues at once"" with examples showing abbreviated investigation steps.","Option C's ""work faster"" instruction risks reducing investigation quality without addressing the architectural limitation.","Create specialized sub-agents for each issue type (shipping, billing, address) and route each concern to the appropriate specialist sequentially.","Option D routes to specialists but still handles issues sequentially; parallelism requires the coordinator to delegate simultaneously, which this option doesn't specify.",,,,,1,,Agentic Architecture & Orchestration
"Your customer support agent escalates cases to human agents using a structured handoff that includes customer_id, order_id, issue_type, and attempted_actions fields. However, human agents report that 35% of escalations require them to re-ask customers for information that was already discussed—specifically, the customer's preferred resolution, any constraints they mentioned (budget limits, time sensitivity), and context about previous failed attempts to resolve the issue. What change would most effectively reduce this information loss?",multiple-choice,"Add explicit fields to the handoff schema: preferred_resolution (what the customer asked for), customer_constraints (budget, timeline, other limitations), and resolution_attempts (what was tried and why it failed), with few-shot examples showing how to extract this information from the conversation.","The problem is that specific categories of information (preferred resolution, constraints, previous attempts) are systematically omitted from escalations. Adding explicit schema fields for these categories ensures the agent knows exactly what information is expected, while few-shot examples demonstrate how to extract this from natural conversation flow.","Instruct the agent in the system prompt to ""include all relevant context when escalating"" and provide general guidance about what information human agents need.","Option B's vague ""all relevant context"" instruction leads to inconsistent inclusion—the agent doesn't know what human agents specifically need.",Implement a PostToolUse hook on escalate_to_human that analyzes the conversation history and automatically extracts additional context fields.,"Option C's automated extraction may miss nuanced context the agent understood during conversation (e.g., customer saying ""I really need this resolved before my trip on Friday"").",Have the agent ask the customer a standard set of questions before every escalation to ensure all required information is captured in a consistent format.,Option D creates poor customer experience with unnecessary questions when this information was often already stated naturally in the conversation.,,,,,1,,Prompt Engineering & Structured Output
"Your customer support agent's backend tools occasionally fail due to transient errors (database timeouts, service unavailability). Currently, when the lookup_order tool fails, it returns a generic string: ""Error: Operation failed. Please try again."" The agent then tells customers ""I'm having trouble looking up your order, let me try again"" and retries indefinitely, sometimes making 5-6 consecutive failed calls before the customer gives up. Logs show 60% of these failures are transient (resolved on retry) while 40% are persistent (require escalation). What MCP tool design change would most improve the customer experience?",multiple-choice,"Implement automatic retry logic with exponential backoff inside the tool, returning success only after retries succeed or returning ""service unavailable"" after all retries fail.","Option A hides decision-making from the agent—the agent can't communicate meaningfully to customers during retry delays, and can't escalate persistent failures until all retries are exhausted.","Return a structured error response using the MCP isError flag with metadata including errorCategory (transient/persistent), isRetryable boolean, suggestedAction (retry/escalate), and a customer-friendly explanation.","Structured error responses using the MCP isError flag with categorized metadata enable the agent to make intelligent decisions: retry immediately for transient errors, escalate promptly for persistent errors, and communicate appropriately with customers based on the suggestedAction field.","Add retry count tracking to the system prompt instructions, telling the agent to ""retry a maximum of 3 times before escalating to a human agent.""",Option C relies on probabilistic prompt compliance and doesn't distinguish between transient and persistent errors.,"Modify the tool to always return partial data when available (e.g., cached order status) rather than failing completely, masking the error from the agent.","Option D masks failures, preventing proper error handling and potentially returning stale data without the agent knowing it's not current.",,,,,2,,Tool Design & MCP Integration
"Your agent handles billing dispute cases where customers challenge charges. The lookup_order tool returns a transaction_history array with 15-20 entries showing authorization, capture, void, refund, and adjustment events. In complex cases with multiple refunds and re-charges, the agent sometimes miscalculates the net amount owed, stating ""you've been refunded $50"" when the actual net accounting shows only $30 after all transactions. The agent must provide accurate balance information in every customer response without requiring additional API calls. What architectural pattern most reliably prevents these calculation errors?",multiple-choice,Enhance the system prompt with step-by-step accounting instructions and few-shot examples showing the agent correctly summing transaction histories.,"Option A relies on LLM arithmetic for financial calculations, which is inappropriate when precision is critical for customer trust and potential disputes.",Implement a PostToolUse hook that processes transaction_history arrays and adds a computed net_balance field to lookup_order responses before the agent sees them.,"Option B provides deterministic calculation via a hook, but moves financial calculation logic into the agent infrastructure layer rather than keeping it in the authoritative financial backend where accounting rules, edge cases, and audit requirements are already implemented and maintained.",Add a separate calculate_balance tool that takes order_id as input and returns the definitive net balance computed by your financial system.,"Option C provides accurate backend computation but requires an additional tool call, contradicting the requirement for balance information without extra API calls.","Modify the lookup_order tool to return pre-computed summary fields (total_charged, total_refunded, current_balance) alongside the detailed transaction_history array, computed by the authoritative financial backend.","Financial calculations require authoritative accuracy from a single source of truth. Modifying lookup_order to include backend-computed summary fields ensures the agent always has accurate figures directly from the financial system—the same system that handles actual accounting, audits, and compliance.",,,,,4,,Tool Design & MCP Integration
